Название;Категория;Описание;Виды;Фото;Tilda UID
АЗИТРИКОН РАСТВОР;Антибактериальные;Антибактериальный препарат с местноанестезирующим действием;Собака,Кошка,КРС,Свинья,МРС;azitrikon_rastvor.jpg;947081899672
АЗИТРОВЕТ 200 мг;Прочее;Таблетки для перорального применения.;Собака;azitrovet_200_mg.jpg;903725031813
АЗИТРОВЕТ 50 мг;Прочее;Таблетки для перорального применения;Собака,Кошка;azitrovet_50_mg.jpg;142118777793
АЗИТРОКОКС 200 мг;Прочее;Антибактериальный препарат группы макролидов;Собака,Кошка;azitrokoks_200_mg.jpg;945924757853
АЗИТРОКОКС 50 мг;Прочее;Антибактериальный препарат группы макролидов;Собака,Кошка;azitrokoks_50_mg.jpg;152241021553
ГЛЮТАР РАСТВОР;Дезинфицирующие, инсектоакарицидные;Дезинфицирующий препарат;Собака,Кошка,Птица,КРС,Свинья,МРС,Лошадь;glyutar_rastvor.jpg;916376440202
ДИСТРЕП 400 LA СУСПЕНЗИЯ;Антибактериальные;Антибактериальный препарат;Собака,Кошка,КРС,Свинья,МРС;distrep_400_la_suspenziya.jpg;883702235672
ДУОЦИЛЛИН LA СУСПЕНЗИЯ;Антибактериальные;Антибактериальный препарат пролонгированного действия;Собака,Кошка,КРС,Свинья,МРС;duocillin_la_suspenziya.jpg;108331981652
КЕТОПРОФЕН-РН РАСТВОР;Противовоспалительные, жаропонижающие, болеутоляющие;Жаропонижающее, анальгезирующее и противовоспалительное средство;Собака,Кошка,КРС,Свинья,Лошадь;ketoprofen_rn_rastvor.jpg;523639612972
КСИЛОВИТ РАСТВОР;Противовоспалительные, жаропонижающие, болеутоляющие;Успокаивающий, обезболивающий, миорелаксационный препарат;Собака,Кошка,КРС,МРС,Лошадь;ksilovit_rastvor.jpg;558965515162
МАРБОФЛОКС 20 мг;Прочее;Таблетки для перорального применения;Собака,Кошка;marbofloks_20_mg.jpg;878836526263
МАРБОФЛОКС 40 мг;Прочее;Таблетки для перорального применения.;Собака;marbofloks_40_mg.jpg;446858425873
МАРБОФЛОКС 5 мг;Прочее;Таблетки для перорального применения;Собака,Кошка;marbofloks_5_mg.jpg;334507772373
МАРБОФЛОКС РАСТВОР 2%;Прочее;Раствор для инъекций;Собака,Кошка;marbofloks_rastvor_2.jpg;571447140063
МИКОФАРМ РАСТВОР;Дезинфицирующие, инсектоакарицидные;Противогрибковый препарат;Собака,Кошка,КРС,Лошадь;mikofarm_rastvor.jpg;276123660662
РЕЛАКСИВ РАСТВОР;Лечения мастита и эндометрита;Вегетотропный препарат;Собака,КРС;relaksiv_rastvor.jpg;169753791242
РЕЦЕФ 50 СУСПЕНЗИЯ;Антибактериальные;Антибактериальный препарат;Собака,КРС,Свинья,МРС,Лошадь;recef_50_suspenziya.jpg;923196283232
СТИМУЛОНГ РАСТВОР;Витаминно-минеральные;Витаминно-минеральный препарат;Собака,Кошка,Птица,КРС,Свинья,МРС,Лошадь;stimulong_rastvor.jpg;459955526332
ТОРУКОКС 5% СУСПЕНЗИЯ;Противопаразитарные и противопротозойные;Противопротозойный препарат;Собака,Кошка,КРС,Свинья;torukoks_5_suspenziya.jpg;342002256882
ТРИМЕТОКС ТАБЛЕТКИ;Антибактериальные;Антибактериальный препарат;Собака,Кошка,КРС,Свинья,МРС;trimetoks_tabletki.jpg;216343738202
ЭКТОФЕН;Дезинфицирующие, инсектоакарицидные;Инсектицидный препарат;Собака,Кошка;ektofen.jpg;656746927722
раствор РАБЕНА 2%;Прочее;Раствор для подкожного введения.;Собака,Кошка;rastvor_rabena_2.jpg;674949679373
раствор для инъекций МАРОПЕКС 1%;Прочее;Раствор для внутривенного и подкожного введения.;Собака,Кошка;rastvor_dlya_inekciy_maropeks_1.jpg;560812800413
суспензия ВЕРАНТЕЛ XL для собак и щенков;Прочее;Суспензия для орального применения.;Собака;suspenziya_verantel_xl_dlya_sobak_i_schenkov.jpg;138026171073
суспензия ВЕРАНТЕЛ для кошек и котят;Прочее;Суспензия для орального применения;Кошка;suspenziya_verantel_dlya_koshek_i_kotyat.jpg;745748327303
суспензия ВЕРАНТЕЛ для собак и щенков;Прочее;Суспензия для орального применения.;Собака;suspenziya_verantel_dlya_sobak_i_schenkov.jpg;300168138683
суспензия ОТИВЕТ;Прочее;Суспензия для наружного применения.;Собака,Кошка;suspenziya_otivet.jpg;935891232053
таблетки АПОМЕД 16 мг;Прочее;Таблетки;Собака;tabletki_apomed_16_mg.jpg;308288470043
таблетки АПОМЕД 3,6 мг;Прочее;Таблетки;Собака;tabletki_apomed_3_6_mg.jpg;888831031043
таблетки АПОМЕД 5,4 мг;Прочее;Таблетки;Собака;tabletki_apomed_5_4_mg.jpg;675050183553
таблетки БИКАРДИЛ 10 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_bikardil_10_mg.jpg;456561275983
таблетки БИКАРДИЛ 2,5 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_bikardil_2_5_mg.jpg;325386434963
таблетки БИКАРДИЛ 5 мг;Прочее;Таблетки для перорального применения.;Собака;tabletki_bikardil_5_mg.jpg;273755513273
таблетки ВАЗОПРИЛ 0,625 мг;Прочее;Таблетки.;Собака,Кошка;tabletki_vazopril_0_625_mg.jpg;302676148393
таблетки ВАЗОПРИЛ 1,25 мг;Прочее;Таблетки;Собака,Кошка;tabletki_vazopril_1_25_mg.jpg;292677119413
таблетки ВАЗОПРИЛ 5 мг;Прочее;Таблетки;Собака,Кошка;tabletki_vazopril_5_mg.jpg;543308575063
таблетки ВЕРАНТЕЛ для кошек;Прочее;Таблетки для перорального применения.;Кошка;tabletki_verantel_dlya_koshek.jpg;417291857173
таблетки ВЕРАНТЕЛ-ПЛЮС для собак;Прочее; ;Собака;tabletki_verantel_plyus_dlya_sobak.jpg;776457540223
